Name,Website,Phone number,Location,Latitude,Longitude,Called,Answered,Voicemail,Not interested,Wants demo
Komo Roofing,https://www.komoroofing.com,778-888-0449,"1917 West 4th Avenue, Vancouver, British Columbia, V6J 1M7, Canada",49.2682859,-123.1485188,☐,☐,☐,☐,☐
Laurentian Roofing Inc,http://laurentianroofing.com/,604-345-7663,"8165 Main St, Vancouver, BC, V5X 3L2, Canada",49.2117025,-123.1022007,☐,☐,☐,☐,☐
Lockhart Roofing,https://lockhart-roofing.ca/,604-314-5544,"North Vancouver, Lower Mainland, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Max Roofing,https://maxroofingbc.ca/,604-379-1751,"407- 5932 Patterson Ave, Vancouver, BC, V6B 3P7, Canada",49.2305727,-123.0126294,☐,☐,☐,☐,☐
MPG Roofing,http://mpgroofing.ca/,604-916-1428,"200-1982 Broadway W, Vancouver, BC, V6J 1Z2, Canada",49.2637816,-123.1500086,☐,☐,☐,☐,☐
Navco Construction / Roofing,http://www.navcoconstruction.com/,778-588-7477,"414-2368 Marpole Ave, Port Coquitlam, BC, V3C 0B4, Canada",49.261957,-122.784327,☐,☐,☐,☐,☐
Pacific Shores Roofing Company,http://www.pacificshoresroofing.com/,604-841-4426,"Vancouver, Surrey, Langley, Lower Mainland, BC (service area; exact address not published)",,,☐,☐,☐,☐,☐
Penfolds Roofing Inc,http://www.penfoldsroofing.com/,604-254-4663,"2230 Hartley Ave, Coquitlam, BC, V3K 6X3, Canada",49.22565,-122.832869,☐,☐,☐,☐,☐
Pro Torch Roofing,http://www.protorchroofing.ca/,778-316-1247,"Burnaby, BC, V5J 0C4, Canada",49.2157499,-122.9790909,☐,☐,☐,☐,☐
Regan Roofing Ltd,https://reganroofing.ca/,604-324-1574,"105-8838 Heather St, Vancouver, BC, V6P 3S8, Canada",49.205661,-123.1230574,☐,☐,☐,☐,☐
Reliable Roof Repair,http://www.reliableroofrepair.ca/,604-259-0011,"408 Kent Ave South E, Vancouver, BC, V5X 2X7, Canada",49.207332,-123.09829,☐,☐,☐,☐,☐
Sierrans Roofing Ltd,https://sierransroofing.ca/,778-997-8301,"19739 71B Ave, Langley, BC, V2Y 3G8, Canada",,,☐,☐,☐,☐,☐
SRS Roofing & Exteriors,https://www.srsroofing.ca,604-655-8194,"123 Street, Surrey, British Columbia, V3W 9J1, Canada",49.1354786,-122.8812150,☐,☐,☐,☐,☐
Williams Roofing & Drainage Ltd,http://williamsroofing.ca/,604-650-0929,"12205 Industrial Road Surrey, BC V3V 3S1",,,☐,☐,☐,☐,☐
