Name,Website,Phone number,City,Location,Called,Answered,Voicemail,Not interested,Wants demo
Beck's Roofing & Siding Ltd,https://www.becksroofingkelowna.ca/,236-499-0762,Kelowna,"BC, Canada",☐,☐,☐,☐,☐
C S A Roofing,http://www.csaroofing.com/,236-499-0771,Kelowna,"48 Caramillo Rd, Kelowna, BC, V1V 1B3, Canada",☐,☐,☐,☐,☐
Canadian Roof,http://roofdoctor.ca/,250-451-9749,Kelowna,"3-715 Evans Crt, Kelowna, BC, V1X 6G4, Canada",☐,☐,☐,☐,☐
Elite Roofing Ltd,https://eliteroofing.ca/,250-762-3546,Kelowna,"4781 Old Vernon Rd, Kelowna, BC, V1X 7V6, Canada",☐,☐,☐,☐,☐
JV Roofing Ltd,https://jv-roofing.ca/,250-863-7172,Kelowna,"510 Bach Rd, Kelowna, BC, V1X 2K7, Canada",☐,☐,☐,☐,☐
Kelowna Roofing Ltd,https://kelowna-roofing.com/,250-765-4441,Kelowna,"3505 Alcan Rd, Kelowna, BC, V1X 7R3, Canada",☐,☐,☐,☐,☐
Laing Roofing,http://www.laingroofing.com/,250-765-3347,Kelowna,"BC, Canada",☐,☐,☐,☐,☐
Madge Custom Roofing,http://www.madgeroofing.com/,250-765-1180,Kelowna,"684 Fitzpatrick Rd, Kelowna, BC, V1X 5E1, Canada",☐,☐,☐,☐,☐
On Top Inspections 2012 Ltd,https://ontoproofconsulting.com/,250-808-9766,Kelowna,"BC, Canada",☐,☐,☐,☐,☐
Orchard Roofing,https://orchardroofing.ca/,250-681-1891,Kelowna,"1525 Hollywood Rd S, Kelowna, BC, V1X 4P2, Canada",☐,☐,☐,☐,☐
Osland Roofing,https://www.oslandroofing.com/,250-870-6727,Kelowna,"BC, Canada",☐,☐,☐,☐,☐
Osoyoos Roofing,https://osoyoosroofing.ca/,250-485-2322,Kelowna,"Kelowna, BC, V1W 3K3, Canada",☐,☐,☐,☐,☐
Pinnacle Roofing Ltd,http://www.pinnacleroofing.ca/,778-753-6464,Kelowna,"1A-3316 Appaloosa Rd, Kelowna, BC, V1V 2W5, Canada",☐,☐,☐,☐,☐
Pitch Masters Roofing Kelowna,http://pitchmasters.ca/,250-469-1022,Kelowna,"320 Prior Rd S, Kelowna, BC, V1X 2Y5, Canada",☐,☐,☐,☐,☐
Premium Roofing Ltd.,https://premiumroofingltd.com/,250-980-0913,Kelowna,"1502 Sutherland Ave #202, Kelowna, BC, V1Y 5Y6, Canada",☐,☐,☐,☐,☐
Roof Doctor,http://www.roofdoctor.ca/,250-765-3013,Kelowna,"3-715 Evans Crt, Kelowna, BC, V1X 6G4, Canada",☐,☐,☐,☐,☐
SV Roofing Ltd,http://svroofing.ca/,778-760-0400,Kelowna,"2851 Lakha Rd, Kelowna, BC, V1X 7W1, Canada",☐,☐,☐,☐,☐
Tomtar Roofing & Sheet Metal Ltd,http://tomtar.ca/,250-765-8122,Kelowna,"153 Pinto Rd, Kelowna, BC, V1V 2G9, Canada",☐,☐,☐,☐,☐
Topline Exteriors Ltd,http://Toplineext.com/,250-212-0781,Kelowna,"BC, Canada",☐,☐,☐,☐,☐
Wilderness Custom Exteriors Ltd,http://www.wildernesscustomexteriors.com/,250-258-9400,Kelowna,"4-690 McCurdy Rd, Kelowna, BC, V1X 2P5, Canada",☐,☐,☐,☐,☐
21St Century Roofers Ltd,https://21stcentury.ca/,778-609-8515,Langley,"20094 Fernridge Cres, Langley, BC, V2Z 1X4, Canada",☐,☐,☐,☐,☐
Aqua-Mobile Gutter Cleaning & Repair,http://aqua-mobile.ca/,604-812-5818,Langley,"20972 48 Ave, Langley, BC, V3A 3M1, Canada",☐,☐,☐,☐,☐
Big Guns Roofing,https://biggunsroofing.com/,604-816-3658,Langley,"9910 203 St, Langley, BC, V1M 3E3, Canada",☐,☐,☐,☐,☐
DSCServices BC Roof Inspections,http://www.bcroofinspections.com/,604-539-2510,Langley,"Langley, BC, Canada",☐,☐,☐,☐,☐
GRC Columbia Roofing Inc,http://www.grccolumbia.ca/,604-830-4168,Langley,"4863 240 St, Langley, BC, V2Z 2M6, Canada",☐,☐,☐,☐,☐
Northwood Roofing,https://northwoodroofing.com/,604-729-9489,Langley,"20540 Duncan Way #502, Langley, BC, V3A 7A3, Canada",☐,☐,☐,☐,☐
Roofing Contractors Association of BC,https://rcabc.org/,604-882-9734,Langley,"9734 201 St, Langley, BC, V1M 3E8, Canada",☐,☐,☐,☐,☐
Thomson Roofing Service,https://thomsonroofingservice.ca/,604-427-4145,Langley,"2382 204A St, Langley, BC, V2Z 1Z9, Canada",☐,☐,☐,☐,☐
Apex Roof Repairs and Maintenance LTD,https://apexroofrepairs.com/,604-203-9079,Maple Ridge,"11737 236 Street, Maple Ridge, BC, V4R 2E5, Canada",☐,☐,☐,☐,☐
Bakerview Roofing Ltd.,https://www.bakerviewroofing.ca/,778-222-6819,Maple Ridge,"24125 110 Avenue, Maple Ridge, BC, V2W 1J3, Canada",☐,☐,☐,☐,☐
Excel Roofing & Solar,https://www.excelroofing.ca/,778-200-7591,Maple Ridge,"12835 Lilley Drive, Maple Ridge, BC, V2W 0G1, Canada",☐,☐,☐,☐,☐
Jackson's Roofing,http://www.jacksonroofing.ca/,604-467-8388,Maple Ridge,"24710 Dewdney Trunk Rd, Maple Ridge, BC, V4R 1X3, Canada",☐,☐,☐,☐,☐
Ridge Meadows Roofing Inc,http://ridgemeadowsroofing.ca/,604-377-5401,Maple Ridge,"BC, Canada",☐,☐,☐,☐,☐
Action Roofing Ltd,http://www.actionroofingltd.com/,604-826-3294,Mission,"34453 Kirkpatrick Ave, Mission, BC, V2V 0B4, Canada",☐,☐,☐,☐,☐
Bulletproof Roof Systems,https://bulletproofroofsystems.com/,778-809-7663,Mission,"8364 Cade Barr St, MISSION, BC, V2V 3Z8, Canada",☐,☐,☐,☐,☐
Ewr Roofing Inc,http://hopkinsroofing.ca/,122-286-6481,Mission,"33878 Cherry Ave, Mission, BC, V2V 2V6, Canada",☐,☐,☐,☐,☐
Hopkins Roofing,http://hopkinsroofing.ca/,236-437-2195,Mission,"10223 Shaw St, Mission, BC, V4S 1J4, Canada",☐,☐,☐,☐,☐
Nika Roofing Ltd,https://nikaroofing.ca/,778-858-7122,New Westminster,"New Westminster, BC, V3L 4X8, Canada",☐,☐,☐,☐,☐
Save on Roof,https://saveonroof.ca/,604-351-4014,New Westminster,"New Westminster, BC, V3L 4X8, Canada",☐,☐,☐,☐,☐
Affordable Quality Roofings Ltd,https://affordablequalityroofing.com/,123-012-0345,North Vancouver,"212-2411 Dollarton Hwy, North Vancouver, BC, V7H 0A3, Canada",☐,☐,☐,☐,☐
Burrard Roofing & Drainage Inc,https://BURRARDROOFING.COM/,604-986-1812,North Vancouver,"135 Riverside Drive West, North Vancouver, BC, V7H 1T6, Canada",☐,☐,☐,☐,☐
Cypress Roofing Ltd,https://cypressroofing.com/,604-929-3837,North Vancouver,"1695 Emerson Crt, North Vancouver, BC, V7H 2Y6, Canada",☐,☐,☐,☐,☐
Eco Exteriors Roofing and Solar Ltd.,https://ecoexteriors.com?utm_source=google&utm_medium=organic&utm_campaign=gbp,604-985-4326,North Vancouver,"144 19th Street East, North Vancouver, BC, V7L 2Y8, Canada",☐,☐,☐,☐,☐
Heyes Roofing & Installations,https://heyesroofing.com/,604-985-8546,North Vancouver,"357 Lynn Ave, North Vancouver, BC, V7J 2C4, Canada",☐,☐,☐,☐,☐
Straightline Roofing Services Inc,http://straightlineservices.ca/,778-318-1860,North Vancouver,"80 Orwell St, North Vancouver District, BC, V7J 3R5, Canada",☐,☐,☐,☐,☐
Hometown Roofing Ltd.,https://hometownroofing.ca/,250-490-9337,Penticton,"150 Chatham Pl, Penticton, BC, V2A 7L6, Canada",☐,☐,☐,☐,☐
Interior Roofing (2011) Ltd,http://www.interiorroofing.com/,250-492-7985,Penticton,"466 Dawson Avenue, Penticton, BC, V2A 3N7, Canada",☐,☐,☐,☐,☐
Nielsen Roofing & Sheet Metal Ltd.,http://nielsenroofing.ca/,250-492-3916,Penticton,"683 Okanagan Ave E, Penticton, BC, V2A 3K7, Canada",☐,☐,☐,☐,☐
Mack Kirk Roofing & Sheet Metal Ltd,http://www.mackkirkroofing.com/,604-258-7121,Pitt Meadows,"130-18799 Airport Way, Pitt Meadows, BC, V3Y 2B4, Canada",☐,☐,☐,☐,☐
Citadel Roofing & Waterproofing LTD.,https://www.citadelroofing.ca/,604-612-3601,Port Coquitlam,"1730 Coast Meridian Road, Port Coquitlam, BC, V3C 3T8, Canada",☐,☐,☐,☐,☐
Navco Construction / Roofing,http://www.navcoconstruction.com/,778-588-7477,Port Coquitlam,"414-2368 Marpole Ave, Port Coquitlam, BC, V3C 0B4, Canada",☐,☐,☐,☐,☐
Penfolds Roofing Tri Cities,http://www.penfoldsroofing.com/,604-942-4663,Port Coquitlam,"300-2232 McAllister Ave, Port Coquitlam, BC, V3C 2A6, Canada",☐,☐,☐,☐,☐
Spartan Roofing,http://www.spartanroofing.ca/,604-379-1345,Port Coquitlam,"3193 Wellington St, Port Coquitlam, BC, V3B 3X6, Canada",☐,☐,☐,☐,☐
Arbutus Roofing & Drains Ltd,http://www.arbutusroofing.com/,604-272-7277,Richmond,"4260 Vanguard Rd, Richmond, BC, V6X 2P5, Canada",☐,☐,☐,☐,☐
Crown Metal Roofing,http://www.crownmetalltd.com/,604-210-7780,Richmond,"1075 Millcarch St, Richmond, BC, V6V 2H4, Canada",☐,☐,☐,☐,☐
Crown Roofing LTD,https://crownroofingltd.com/,604-370-6288,Richmond,"118-11860 Hammersmith Way, Richmond, BC, V7A 5G1, Canada",☐,☐,☐,☐,☐
Crown Roofing Residential Division,http://www.crownroofingltd.com/,604-327-6966,Richmond,"1071 Millcarch St, Richmond, BC, V6V 2H4, Canada",☐,☐,☐,☐,☐
H B Roofing & Sheet Metal Ltd,http://www.hbroofing.ca/,604-948-0577,Richmond,"BC, Canada",☐,☐,☐,☐,☐
M & B Roofing Ltd,http://www.mbroofing.ca?fbclid=IwAR0BRkgQ7-cdnPJ0DC4ePmRuI2HS2WdqGkhqIC-jvqQvzViRoHoQDa0bc3M,778-862-7305,Richmond,"11180 Bridgeport Road, Richmond, BC, V6X 1T2, Canada",☐,☐,☐,☐,☐
Diamond Tip Roofing,http://diamondtiproofing.com/,604-966-4810,Squamish,"38039 5 Ave, Squamish, BC, V8B 0J7, Canada",☐,☐,☐,☐,☐
Garibaldi Roofing,http://www.garibaldiroofing.com/,604-898-2285,Squamish,"107-1101 Commercial Pl, Squamish, BC, V8B 1B5, Canada",☐,☐,☐,☐,☐
Abney Roofing Ltd,http://www.abneyroofing.com/,604-534-5715,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Arnold & Sons Roofing Ltd,http://www.arnoldandsonsroofing.com/,604-460-2385,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Axis Waterproofing Ltd,http://www.axiswaterproofing.com/,778-240-8248,Surrey,"BC, Canada",☐,☐,☐,☐,☐
B-Cheema Roofing Ltd,http://www.bcheemaroofing.ca/,604-722-3600,Surrey,"2242 168 St, Surrey, BC, V3Z 0B5, Canada",☐,☐,☐,☐,☐
Best J R Roofing Ltd,http://bestjrroofingltd.ca/,604-209-1686,Surrey,"201-8381 128 St, Surrey, BC, V3W 4G1, Canada",☐,☐,☐,☐,☐
Best Look Roofing Ltd,https://www.bestlookroofing.ca/,778-908-8141,Surrey,"7855 127 St, Surrey, BC, V3W 4B2, Canada",☐,☐,☐,☐,☐
Bindy Roofing,http://bindyroofing.ca/,604-652-1748,Surrey,"6667 126 St, Surrey, BC, V3W 1V8, Canada",☐,☐,☐,☐,☐
Bollman Roofing & Sheet Metal Ltd,http://www.bollmanroofing.com/,604-513-8637,Surrey,"18945 96 Ave, Surrey, BC, V4N 3P3, Canada",☐,☐,☐,☐,☐
Canam Roofing,http://www.canamroofing.ca/,778-881-1417,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Cedar Roofs Only,http://www.cedarroofsonly.com/,604-835-7663,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Columbia Roofing,http://grccolumbia.ca/,604-594-7627,Surrey,"Newton, BC, Canada",☐,☐,☐,☐,☐
Consumers Choice Roofing & Drainage,http://ccrandd.ca/,604-805-4829,Surrey,"18267 64 Ave, Surrey, BC, V3S 0M3, Canada",☐,☐,☐,☐,☐
DC Roofing Inc,http://www.dcroofing.ca/,604-583-1084,Surrey,"Surrey, BC, Canada",☐,☐,☐,☐,☐
Dil Brothers Construction Services Ltd,http://hazelmereroofing.ca/,122-830-7906,Surrey,"8820 141A St, Surrey, BC, V3V 7W5, Canada",☐,☐,☐,☐,☐
Eagle Mount Roofing & Framing Ltd,http://hazelmereroofing.ca/,122-855-9968,Surrey,"13232 Shakespeare Pl, Surrey, BC, V3W 6C9, Canada",☐,☐,☐,☐,☐
Flat Roofing B.C Inc,https://www.flatroofingbc.com/,604-385-3178,Surrey,"13786 27 Ave, Surrey, BC, V4P 1T1, Canada",☐,☐,☐,☐,☐
Friendly Roofing Ltd,http://friendlyroofing.ca/,604-498-0606,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Harvey Roofing,http://harveyroofing.ca/,778-872-9051,Surrey,"13021 60A Ave, Surrey, BC, V3X 3T6, Canada",☐,☐,☐,☐,☐
Hazelmere Roofing Ltd,http://hazelmereroofing.ca/,604-808-1655,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Highland Roofing Ltd,https://highlandroofingltd.ca/,778-908-8091,Surrey,"BC, Canada",☐,☐,☐,☐,☐
Homan Roofing Ltd,http://www.homan.ca/,604-514-9547,Surrey,"BC, Canada",☐,☐,☐,☐,☐
JJ Roofing,https://jjroofing.ca/,604-726-6345,Surrey,"6651 132 St, Surrey, BC, V3W 4L7, Canada",☐,☐,☐,☐,☐
Kanga Roofing,http://www.kangaroofing.ca/,604-240-9510,Surrey,"8013 144 St, Surrey, BC, V3W 5T3, Canada",☐,☐,☐,☐,☐
Mainland Roofing Ltd,http://hazelmereroofing.ca/,122-767-6544,Surrey,"11033 164 St, Surrey, BC, V4N 4X9, Canada",☐,☐,☐,☐,☐
Paragon Roofing BC,https://paragonroofingbc.ca/,604-358-3436,Surrey,"12233 92 Avenue, Surrey, BC, V3V 1G3, Canada",☐,☐,☐,☐,☐
Pattar Roofing Ltd,http://pattarroofing.com/,604-588-0833,Surrey,"10170 Grace Rd, Surrey, BC, V3V 3V6, Canada",☐,☐,☐,☐,☐
Penfolds Roofing & Solar Inc,http://www.penfoldsroofing.com/,604-591-6635,Surrey,"2160 King George Blvd, Surrey, BC, V4A 5A2, Canada",☐,☐,☐,☐,☐
Rai Roofing Ltd,http://rairoofing.com/,604-807-0307,Surrey,"9452 132A St, Surrey, BC, V3V 6W5, Canada",☐,☐,☐,☐,☐
Raven Roofing Ltd,https://ravenroofing.com/,604-531-9619,Surrey,"Surrey, BC, V3T 4W3, Canada",☐,☐,☐,☐,☐
SRS Roofing & Exteriors,https://www.srsroofing.ca/,604-655-8194,Surrey,"7290 123 St, Surrey, BC, V3W 9J1, Canada",☐,☐,☐,☐,☐
SW Roof Restoration & Maintenance,http://www.southwestroof.ca/,604-719-8180,Surrey,"233-15355 24 Ave, Surrey, BC, V4A 2H9, Canada",☐,☐,☐,☐,☐
Touchstone Roofing Ltd,http://hazelmereroofing.ca/,122-810-5274,Surrey,"9280 148A St, Surrey, BC, V3R 3Y9, Canada",☐,☐,☐,☐,☐
Weatherguard Gutters Inc,http://www.weatherguardgutters.com/,604-574-1985,Surrey,"7175 184 Street, Surrey, BC, V4N 5V1, Canada",☐,☐,☐,☐,☐
Williams Roofing & Drainage Limited,http://williamsroofing.ca/,604-504-1414,Surrey,"BC, Canada",☐,☐,☐,☐,☐
A-Top Roofing Ltd,http://www.atoproofing.ca/,778-874-0421,Vancouver,"BC, Canada",☐,☐,☐,☐,☐
Absolute Roof Solutions Ltd,http://www.absoluteroof.ca/,604-263-0334,Vancouver,"1676 75 Avenue W, Vancouver, BC, V6P 6G2, Canada",☐,☐,☐,☐,☐
Accurate Roofing Ltd,http://www.accurateroofing.ca/,604-250-3939,Vancouver,"312-2818 Main St, Vancouver, BC, V5T 0C1, Canada",☐,☐,☐,☐,☐
Adanac Roofing & Gutters,https://adanac.ca/,778-655-3036,Vancouver,"206-456 Moberly Rd, Vancouver, BC, V5Z 4L7, Canada",☐,☐,☐,☐,☐
All Coast Roofing,https://allcoastroofing.ca/,778-229-0250,Vancouver,"BC, Canada",☐,☐,☐,☐,☐
Arbutus Roofing & Drains (2006) Ltd,http://www.arbutusroofing.com/,604-214-4422,Vancouver,"315-2233 Burrard St, Vancouver, BC, V6J 3H9, Canada",☐,☐,☐,☐,☐
Cambie Drainage Contractors Ltd,http://cambieroofing.com/,604-261-1111,Vancouver,"1367 E Kent Ave North, Vancouver, BC, V5X 4T6, Canada",☐,☐,☐,☐,☐
Cambie Roofing & Drainage,https://cambieroofing.com/,604-261-1111,Vancouver,"1367 E Kent Ave North, Vancouver, BC, V5X 4T6, Canada",☐,☐,☐,☐,☐
Chisholm Roofing Ltd,http://chisholmroofing.ca/,604-325-8099,Vancouver,"1083 East Kent Avenue North, Vancouver, BC, V5X 4V9, Canada",☐,☐,☐,☐,☐
Collingwood Roofing Ltd,http://collingwoodroofing.ca/,604-779-5014,Vancouver,"5080 Rupert St, Vancouver, BC, V5R 2J8, Canada",☐,☐,☐,☐,☐
Crown Roofing & Drainage,http://www.crownroofingltd.com/,604-737-2477,Vancouver,"Vancouver, BC, V6B 3P7, Canada",☐,☐,☐,☐,☐
Crucial Roof Services Ltd,http://crucialroofservices.com/,604-638-2192,Vancouver,"BC, Canada",☐,☐,☐,☐,☐
Done Right Solutions Ltd,http://worryfreeroofing.ca/,604-522-1993,Vancouver,"111-1790 W 10th Ave, Vancouver, BC, V6J 2A6, Canada",☐,☐,☐,☐,☐
Drytech Renovations & Roofing Inc,http://www.drytech.ca/,604-228-7633,Vancouver,"1230 75th Ave W, Vancouver, BC, V6P 3G3, Canada",☐,☐,☐,☐,☐
Dulai Roofing Ltd,http://www.dulairoofing.com/,604-874-2111,Vancouver,"Vancouver, BC, Canada",☐,☐,☐,☐,☐
