Name,Website,Phone number,City,Location,Search cities,Website active,Website check,Final URL,Source,Detail URL
Direct Roofing - Residential & Commercial Roofing Contractor,https://directroofing.ca/,778-552-7663,Abbotsford,"31141 Wheel Avenue, Abbotsford, BC, V2T 6H2, Canada",Abbotsford; Delta; Langley; Mission; Surrey; White Rock,Yes,"roofing content, phone match, name match, city match, regional match",https://directroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Direct-Roofing-Residential-Commercial-Roofing-Contractor/101032293.html
Direct Roofing Ltd,,778-402-4035,Abbotsford,"30971 Peardonville Rd, Abbotsford, BC, V2T 6K3, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Direct-Roofing-Ltd/101254699.html
Doerksen Roofing,,778-769-2635,Abbotsford,"102-33415 MacLure Rd, Abbotsford, BC, V2S 0C4, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Doerksen-Roofing/1915238.html
Doerksen Roofing Ltd.,http://www.doerksenroofing.ca,604-852-6402,Abbotsford,"33415 Maclure Road, Abbotsford, British Columbia, V2S 0C4, Canada",Abbotsford,Yes,"roofing content, phone match, name match, city match, regional match",https://doerksenroofing.ca/,OpenStreetMap,OpenStreetMap/Nominatim
Enns Roofing Ltd,http://ennsroofing.ca/,604-853-0312,Abbotsford,"7335 Bradner Rd, Abbotsford, BC, V4X 2B6, Canada",Abbotsford; Mission,No,"not reachable or parked: http://ennsroofing.ca/: HTTPConnectionPool(host='ennsroofing.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='ennsroofing.ca', port=80): Failed to resolve 'ennsroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://ennsroofing.ca/: HTTPSConnectionPool(host='ennsroofing.ca', port=443): Max ret",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Enns-Roofing-Ltd/577136.html
Felix's Roofing Ltd,,604-864-8508,Abbotsford,"37658 Atkinson Rd, Abbotsford, BC, V3G 2G7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Felix-s-Roofing-Ltd/2265418.html
First Class Roofing,http://www.firstclassroofingfraservalley.ca/,604-864-4131,Abbotsford,"33106 Huntingdon Rd, Abbotsford, BC, V2S 7Z3, Canada",Abbotsford; Mission,No,"not reachable or parked: http://www.firstclassroofingfraservalley.ca/: HTTPConnectionPool(host='www.firstclassroofingfraservalley.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='www.firstclassroofingfraservalley.ca', port=80): Failed to resolve 'www.firstclassroofingfraservalley.ca' ([Errno 11001] getaddrinfo failed)"")) ",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/First-Class-Roofing/7913806.html
Four Corner Roofing Ltd.,,604-614-4710,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Four-Corner-Roofing-Ltd/102679540.html
Glacier Valley Roofing,http://www.glaciervalleyroofing.com/,604-551-8742,Abbotsford,"BC, Canada",Abbotsford; Mission,Yes,"roofing content, phone match, name match, city match, regional match",https://glaciervalleyroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Glacier-Valley-Roofing/102158106.html
Glen's Roofing,,604-302-3000,Abbotsford,"2863 Princess St, Abbotsford, BC, V2T 2S7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Glen-s-Roofing/104456198.html
H & E Roofing,,778-241-3751,Abbotsford,"2481 Aladdin Cres, Abbotsford, BC, V2S 5K7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/H-E-Roofing/104454955.html
Howie Roofing,http://howiesroofing.com/,604-746-7474,Abbotsford,"7-31309 Wheel Ave, Abbotsford, BC, V2T 6H2, Canada",Abbotsford; Mission,Yes,"roofing content, name match, city match, regional match",https://howiesroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Howie-Roofing/7879412.html
Howie's Roofing Inc,,604-309-1565,Abbotsford,"2874 Upland Cres, Abbotsford, BC, V2T 2E9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Howie-s-Roofing-Inc/100198754.html
Huffman & Son Roofing,,604-832-2447,Abbotsford,"34059 Hazelwood Ave, Abbotsford, BC, V2S 7R1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Huffman-Son-Roofing/102708117.html
Integrity Roofing,,604-768-0304,Abbotsford,"2151 Maywood Crt, Abbotsford, BC, V2S 4Y9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Integrity-Roofing/7915975.html
JDM Roofing,http://www.jdm-roofing.ca/,604-787-4016,Abbotsford,"BC, Canada",Abbotsford; Chilliwack; Hope; Mission,Yes,"roofing content, phone match, regional match",https://www.jdm-roofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/JDM-Roofing/100821564.html
Jambee Roofing,,604-613-4852,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Jambee-Roofing/100973219.html
Just Clad Metal Roofing,,778-347-2523,Abbotsford,"QC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/Quebec/Just-Clad-Metal-Roofing/101037798.html
Ken Roofing and Restoration Services,,604-751-2324,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Ken-Roofing-and-Restoration-Services/101012649.html
Loewen Roofing,,604-850-0973,Abbotsford,"2351 Beaver St, Abbotsford, BC, V2T 3C9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Loewen-Roofing/102597131.html
MRI Roofing & Contractors,,604-832-1914,Abbotsford,"Abbotsford, BC, V2S 1A1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/MRI-Roofing-Contractors/100970431.html
MTR Roofing Ltd,http://mtrroofing.com/,604-551-4721,Abbotsford,"4641 Bradner Rd, Abbotsford, BC, V4X 1S9, Canada",Abbotsford; Mission,No,roofing content,https://mtrroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/MTR-Roofing-Ltd/100293542.html
Matt Gordon Roofing and Custom Sheet Metal Ltd,http://www.mattgordonroofing.com/,604-309-0574,Abbotsford,"5091 Glenmore Rd, Abbotsford, BC, V4X 1X6, Canada",Abbotsford; Chilliwack; Delta; Hope; Langley; Mission; Surrey; White Rock,Yes,"roofing content, phone match, name match, city match, regional match",https://www.mattgordonroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Matt-Gordon-Roofing-and-Custom-Sheet-Metal-Ltd/7207130.html
Modren Roofing Inc.,,604-300-7684,Abbotsford,"31615 Ridgeview Dr, Abbotsford, BC, V2T 6R9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Modren-Roofing-Inc/104561800.html
Nick's Roofing,,604-309-2349,Abbotsford,"2581 Parkview Street, Abbotsford, BC, V2T 3K9, Canada",Abbotsford; Burnaby; Mission; New Westminster; Port Moody,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Nick-s-Roofing/7703700.html
No-Puncture Roof Diagnostics Inc,,778-823-2026,Abbotsford,"33494 Rainbow Ave, Abbotsford, BC, V2S 1E7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/No-Puncture-Roof-Diagnostics-Inc/104244090.html
Patch's Surrey Dome Roofing Ltd,,604-857-0773,Abbotsford,"28709 Downes Rd, Abbotsford, BC, V4X 1N7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Patch-s-Surrey-Dome-Roofing-Ltd/4220625.html
Paul Sawatzky Roofing,,604-852-4728,Abbotsford,"Po Box 426 Stn A, Abbotsford, BC, V2T 6Z7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Paul-Sawatzky-Roofing/104467803.html
Penfolds Roofing And Solar,,604-379-0338,Abbotsford,"19-36060 Old Yale Rd, Abbotsford, BC, V3G 2E9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Penfolds-Roofing-And-Solar/104301578.html
Perfection Roofing Ltd,,604-832-2048,Abbotsford,"29445 Simpson Rd, Abbotsford, BC, V4X 1H9, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Perfection-Roofing-Ltd/6528608.html
Pilgrims Roof Maintenance,,604-302-8739,Abbotsford,"Abbotsford, BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Pilgrims-Roof-Maintenance/101110779.html
RadClad Metal Roofing,,778-840-0181,Abbotsford,"2069 Meadows St, Abbotsford, BC, V2T 3A5, Canada",Vancouver,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/RadClad-Metal-Roofing/101757554.html
Rick's Roofing,,604-312-2026,Abbotsford,"32134 Peardonville Rd, Abbotsford, BC, V2T 1M1, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Rick-s-Roofing/2501078.html
Ridgeland Roofing,http://ridgelandroofing.ca/,604-807-0428,Abbotsford,"BC, Canada",Abbotsford; Mission,No,"not reachable or parked: http://ridgelandroofing.ca/: HTTPConnectionPool(host='ridgelandroofing.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='ridgelandroofing.ca', port=80): Failed to resolve 'ridgelandroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://ridgelandroofing.ca/: HTTPSConnectionPool(host='ridgelandr",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Ridgeland-Roofing/101446651.html
Rite-Way Roofing Ltd,,604-807-6058,Abbotsford,"3378 Saturna Cres, Abbotsford, BC, V2T 4S3, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Rite-Way-Roofing-Ltd/104452900.html
Roofing Doctor,,778-771-0262,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Roofing-Doctor/101143582.html
Roofmart,http://www.roofmart.ca/,604-850-5050,Abbotsford,"BC, Canada",Abbotsford; Mission,Yes,"roofing content, name match",https://roofmart.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Roofmart/100186976.html
Sarao Roofing,,604-613-3480,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Sarao-Roofing/100968730.html
Sasquatch Roofing,,604-812-8585,Abbotsford,"2578 James St, Abbotsford, BC, V2T 3L5, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Sasquatch-Roofing/102760873.html
Sky Roofing,,604-857-2534,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Sky-Roofing/7672003.html
Straight Forward Roofing,,778-246-0941,Abbotsford,"Abbostford, BC, V2T 2E7, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbostford/Straight-Forward-Roofing/101548932.html
Super Star Roofing Ltd,http://superstarroofing.ca/,604-866-1212,Abbotsford,"Abbotsford, BC, V2T 6R3, Canada",Abbotsford; Mission,Yes,"roofing content, name match, regional match",https://www.superstarroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Super-Star-Roofing-Ltd/8202797.html
Taves Roofing Mission,,604-670-7553,Abbotsford,"34347 Catchpole Ave, BC, V2V 6P2, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Taves-Roofing-Mission/102640483.html
Townline Roofing,http://www.townlineroofing.com/,236-360-6021,Abbotsford,"32132 Joyce Ave, Abbotsford, BC, V2T 1B7, Canada",Abbotsford; Delta; Langley; Mission; Surrey; White Rock,No,active HTTP but no roofing/company/local cross-reference,http://www.townlineroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Townline-Roofing/101301762.html
Undercover Roofing & Siding,,604-850-1794,Abbotsford,"BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Undercover-Roofing-Siding/101497516.html
Valley View Roofing And Cleaning Solutions,https://valleyviewroof.ca/,604-644-7220,Abbotsford,"31316 Wagner Road, Abbotsford, BC, V2T 6G1, Canada",Abbotsford; Mission,No,"not reachable or parked: https://valleyviewroof.ca/: HTTPSConnectionPool(host='valleyviewroof.ca', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='valleyviewroof.ca', port=443): Failed to resolve 'valleyviewroof.ca' ([Errno 11001] getaddrinfo failed)"")) | https://www.valleyviewroof.ca/: HTTPSConnectionPool(host='www.valleyv",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Abbotsford/Valley-View-Roofing-And-Cleaning-Solutions/102491785.html
BT Roofing Works,,604-791-2152,Agassiz,"6752 Whelpton Rd, Agassiz, BC, V0M 1A4, Canada",Chilliwack; Hope,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Agassiz/BT-Roofing-Works/101008786.html
Epps Roofing,,604-796-0220,Agassiz,"4758 Lougheed Hwy, Agassiz, BC, V0M 1A3, Canada",Chilliwack; Hope,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Agassiz/Epps-Roofing/102853593.html
H & G Roofing & Sheet Metal,,604-796-0499,Agassiz,"7023 Mulberry Pl, Agassiz, BC, V0M 1A3, Canada",Chilliwack; Hope,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Agassiz/H-G-Roofing-Sheet-Metal/737100.html
Aldergrove Roofing,,778-389-5564,Aldergrove,"1121 248 St, Aldergrove, BC, V4W 2B8, Canada",Delta; Langley; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Aldergrove-Roofing/102811662.html
Fec Roofing,,778-551-3133,Aldergrove,"26921 Alder Dr, Aldergrove, BC, V4W 3H1, Canada",Delta; Langley; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Fec-Roofing/102852184.html
Gold Star Roofing Ltd,,604-825-4068,Aldergrove,"Aldergrove, BC, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Gold-Star-Roofing-Ltd/7685858.html
Jake's Roofing,http://jakesroofing.ca/,604-607-5651,Aldergrove,"25647 36 Ave, Aldergrove, BC, V4W 2A8, Canada",Delta; Langley; Surrey; White Rock,No,"not reachable or parked: http://jakesroofing.ca/: HTTPConnectionPool(host='jakesroofing.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='jakesroofing.ca', port=80): Failed to resolve 'jakesroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://jakesroofing.ca/: HTTPSConnectionPool(host='jakesroofing.ca', port=443): M",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Jake-s-Roofing/3254631.html
Peak Pro Roofing,,778-241-1985,Aldergrove,"Aldergrove, BC, V4W 2V2, Canada",Abbotsford; Mission,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Peak-Pro-Roofing/100866085.html
Price Roofing,,604-825-2759,Aldergrove,"Aldergrove, BC, V4W 2V2, Canada",Delta; Langley; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Price-Roofing/100995526.html
Sand Mountain Roofing,,604-308-3581,Aldergrove,"24941 40 Ave, Aldergrove, BC, V4W 1X2, Canada",Delta; Langley; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Sand-Mountain-Roofing/104296321.html
Trimax Roofing,http://www.trimaxroofing.com/,604-856-4999,Aldergrove,"24880 52 Ave, Aldergrove, BC, V4W 1G2, Canada",Delta; Langley; Surrey; White Rock,No,"not reachable or parked: http://www.trimaxroofing.com/: HTTPConnectionPool(host='www.trimaxroofing.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='www.trimaxroofing.com', port=80): Failed to resolve 'www.trimaxroofing.com' ([Errno 11001] getaddrinfo failed)"")) | https://www.trimaxroofing.com/: HTTPSConnectionPool(host='",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Trimax-Roofing/7223836.html
Triple G Roofing,,604-825-6859,Aldergrove,"Aldergrove, BC, V4W 2V2, Canada",Delta; Langley; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Triple-G-Roofing/101480683.html
Wiley Roofing Ltd,,604-454-4084,Aldergrove,"26527 Fraser Hwy, Aldergrove, BC, V4W 3E2, Canada",Burnaby; Delta; Langley; New Westminster; Surrey; White Rock,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Aldergrove/Wiley-Roofing-Ltd/3440084.html
Aback Roofing,http://www.abackroofing.com/,778-828-8098,Anmore,"147 Fern Dr, Anmore, BC, V3H 4W9, Canada",Port Moody; Vancouver,No,"not reachable or parked: http://www.abackroofing.com/: HTTPConnectionPool(host='roofing-vancouver.net', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='roofing-vancouver.net', port=80): Failed to resolve 'roofing-vancouver.net' ([Errno 11001] getaddrinfo failed)"")) | https://www.abackroofing.com/: HTTPSConnectionPool(host='ww",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Anmore/Aback-Roofing/8067379.html
Select Roofing Limited,,604-724-4429,Belcarra,"3464 Marine Ave, Belcarra, BC, V3H 4R7, Canada",Coquitlam; Maple Ridge; Pitt Meadows; Port Coquitlam; Port Moody,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Belcarra/Select-Roofing-Limited/104456839.html
Gary Charette Roofing,,604-947-2267,Bowen Island,"Bowen Island, BC, Canada",North Vancouver; West Vancouver,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Bowen-Island/Gary-Charette-Roofing/104752752.html
AG Woodward Roofing & Drainage Ltd.,http://www.agwoodwardroofing.net/,604-327-2908,Burnaby,"7941 Willard St, Burnaby, BC, V3N 2W8, Canada",Burnaby; New Westminster; Port Moody; Vancouver,No,"not reachable or parked: http://www.agwoodwardroofing.net/: HTTPConnectionPool(host='www.agwoodwardroofing.net', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='www.agwoodwardroofing.net', port=80): Failed to resolve 'www.agwoodwardroofing.net' ([Errno 11001] getaddrinfo failed)"")) | https://www.agwoodwardroofing.net/: HTTPSC",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Burnaby/AG-Woodward-Roofing-Drainage-Ltd/7446883.html
